city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Los Angeles,2020-01-01,65.0,34.0,52.7,2.2,38.5,33.5,33.0,5.0,Rural,1337.0
Beijing,2020-01-02,137.0,33.7,31.5,36.7,27.5,-1.6,32.0,4.0,Urban,1545.0
London,2020-01-03,266.0,43.0,59.6,30.4,57.3,36.4,25.0,10.0,Suburban,1539.0
Mexico City,2020-01-04,293.0,33.7,37.9,12.3,42.7,-1.0,67.0,10.0,Urban,552.0
Delhi,2020-01-05,493.0,50.3,34.8,31.2,35.6,33.5,72.0,9.0,Suburban,1631.0
Cairo,2020-01-06,28.0,67.2,44.9,41.9,47.8,7.9,89.0,11.0,Urban,1291.0
Los Angeles,2020-01-07,217.0,29.0,63.7,22.3,56.0,27.7,22.0,8.0,Urban,1852.0
Los Angeles,2020-01-08,449.0,60.8,56.2,40.0,18.1,26.3,46.0,14.0,Urban,350.0
Delhi,2020-01-09,342.0,44.9,63.4,31.0,34.9,28.0,34.0,7.0,Urban,878.0
Beijing,2020-01-10,279.0,27.1,101.0,47.8,42.2,-2.1,24.0,8.0,Urban,179.0
Beijing,2020-01-11,484.0,56.6,46.3,33.2,27.3,27.9,62.0,9.0,Urban,600.0
Tokyo,2020-01-12,472.0,44.7,56.6,35.1,31.1,9.4,26.0,5.0,Suburban,154.0
Mexico City,2020-01-13,276.0,46.3,50.5,32.8,52.6,24.7,53.0,11.0,Rural,1042.0
London,2020-01-14,290.0,0.4,43.0,25.3,55.8,8.8,33.0,3.0,Urban,989.0
Beijing,2020-01-15,475.0,45.0,47.6,38.5,54.6,10.4,76.0,6.0,Urban,1461.0
Delhi,2020-01-16,423.0,34.2,31.4,36.1,32.8,24.7,70.0,5.0,Urban,1472.0
Mexico City,2020-01-17,269.0,41.3,46.0,22.9,39.7,-4.7,74.0,10.0,Urban,1337.0
Delhi,2020-01-18,475.0,44.4,34.8,41.4,67.2,25.4,27.0,10.0,Suburban,1374.0
London,2020-01-19,34.0,41.5,17.3,40.3,44.4,2.5,35.0,8.0,Urban,893.0
Mexico City,2020-01-20,234.0,42.3,47.3,17.2,43.7,34.4,36.0,11.0,Urban,1508.0
Los Angeles,2020-01-21,402.0,47.0,13.8,29.2,30.8,30.3,84.0,8.0,Rural,1785.0
Beijing,2020-01-22,164.0,31.1,66.1,20.2,31.9,5.1,69.0,8.0,Suburban,1500.0
Cairo,2020-01-23,429.0,61.3,43.2,30.1,37.8,35.3,28.0,8.0,Urban,1041.0
Tokyo,2020-01-24,161.0,44.4,51.6,25.3,15.0,28.5,86.0,7.0,Urban,89.0
Los Angeles,2020-01-25,385.0,24.0,31.5,28.1,29.6,-2.6,23.0,3.0,Urban,1187.0
Delhi,2020-01-26,184.0,40.3,57.1,15.6,45.1,6.6,36.0,8.0,Urban,59.0
Beijing,2020-01-27,382.0,19.5,33.3,24.8,44.1,9.2,38.0,7.0,Urban,1852.0
Delhi,2020-01-28,132.0,47.1,51.1,23.4,48.0,-3.5,91.0,9.0,Suburban,1866.0
Delhi,2020-01-29,169.0,19.8,30.1,40.8,58.8,32.2,62.0,15.0,Urban,1099.0
Mexico City,2020-01-30,470.0,32.6,37.0,39.7,37.0,5.0,20.0,7.0,Suburban,892.0
Los Angeles,2020-01-31,388.0,30.6,53.8,10.7,13.3,-1.4,36.0,10.0,Urban,1228.0
